DEBUG 19:52:35,490 [main] DefaultTpsRouter | Max tps for node kernel-1 is 10
DEBUG 19:52:35,490 [main] DefaultTpsRouter | Recalculating desired tps per node...
DEBUG 19:52:35,490 [main] DefaultTpsRouter | For node kernel-1 desired tps 10.000 max tps 10
DEBUG 19:52:35,491 [main] DefaultTpsRouter | Node kernel-1 tps should not be changed
DEBUG 19:52:35,492 [main] DefaultTpsRouter | Going to detect max tps for node kernel-2
DEBUG 19:52:35,493 [main] DefaultTpsRouter | Max tps for node kernel-2 is 11
DEBUG 19:52:35,493 [main] DefaultTpsRouter | Going to detect max tps for node kernel-1
DEBUG 19:52:35,493 [main] DefaultTpsRouter | Max tps for node kernel-1 is 11
DEBUG 19:52:35,493 [main] DefaultTpsRouter | Recalculating desired tps per node...
DEBUG 19:52:35,493 [main] DefaultTpsRouter | For node kernel-2 desired tps 5.000 max tps 11
DEBUG 19:52:35,493 [main] DefaultTpsRouter | Node kernel-2 tps should not be changed
DEBUG 19:52:35,493 [main] DefaultTpsRouter | For node kernel-1 desired tps 5.000 max tps 11
DEBUG 19:52:35,494 [main] DefaultTpsRouter | Node kernel-1 tps should not be changed
DEBUG 19:52:35,495 [main] DefaultTpsRouter | Going to detect max tps for node kernel-2
DEBUG 19:52:35,495 [main] DefaultTpsRouter | Max tps for node kernel-2 cannot be detected. Using desired tps as max
DEBUG 19:52:35,495 [main] DefaultTpsRouter | Max tps for node kernel-2 is 10
DEBUG 19:52:35,495 [main] DefaultTpsRouter | Going to detect max tps for node kernel-1
DEBUG 19:52:35,496 [main] DefaultTpsRouter | Max tps for node kernel-1 cannot be detected. Using desired tps as max
DEBUG 19:52:35,496 [main] DefaultTpsRouter | Max tps for node kernel-1 is 10
DEBUG 19:52:35,496 [main] DefaultTpsRouter | Recalculating desired tps per node...
DEBUG 19:52:35,496 [main] DefaultTpsRouter | For node kernel-2 desired tps 5.000 max tps 10
DEBUG 19:52:35,496 [main] DefaultTpsRouter | Node kernel-2 tps should not be changed
DEBUG 19:52:35,496 [main] DefaultTpsRouter | For node kernel-1 desired tps 5.000 max tps 10
DEBUG 19:52:35,496 [main] DefaultTpsRouter | Node kernel-1 tps should not be changed
DEBUG 19:52:35,498 [main] DefaultTpsRouter | Going to detect max tps for node kernel-2
DEBUG 19:52:35,498 [main] DefaultTpsRouter | Max tps for node kernel-2 is 2
DEBUG 19:52:35,498 [main] DefaultTpsRouter | Going to detect max tps for node kernel-1
DEBUG 19:52:35,499 [main] DefaultTpsRouter | Max tps for node kernel-1 is 2
DEBUG 19:52:35,499 [main] DefaultTpsRouter | Recalculating desired tps per node...
DEBUG 19:52:35,499 [main] DefaultTpsRouter | For node kernel-2 desired tps 5.000 max tps 2
DEBUG 19:52:35,499 [main] DefaultTpsRouter | Cannot increase tps at node kernel-2 to 5.000
